Query,Custom Header,Resolved IP
_apple-mobdev._tcp.local.,18070700,224.0.0.251
_apple-mobdev._tcp.local.,18070701,224.0.0.251
github.com.,18072102,140.82.113.3
Brother MFC-7860DW._pdl-datastream._tcp.local.,18073003,192.168.1.50
Brother MFC-7860DW._pdl-datastream._tcp.local.,18073004,192.168.1.50
bing.com.,18073305,204.79.197.200
facebook.com.,18075106,157.240.22.35
Brother MFC-7860DW._pdl-datastream._tcp.local.,18080107,192.168.1.50
Brother MFC-7860DW._pdl-datastream._tcp.local.,18080208,192.168.1.50
amazon.com.,18081809,176.32.103.205
_apple-mobdev._tcp.local.,18083210,224.0.0.251
Brother MFC-7860DW._pdl-datastream._tcp.local.,18083511,192.168.1.50
Brother MFC-7860DW._pdl-datastream._tcp.local.,18083612,192.168.1.50
linkedin.com.,18084713,108.174.10.10
Brother MFC-7860DW._pdl-datastream._tcp.local.,18090014,192.168.1.50
Brother MFC-7860DW._pdl-datastream._tcp.local.,18090115,192.168.1.50
_apple-mobdev._tcp.local.,18090516,224.0.0.251
_apple-mobdev._tcp.local.,18090517,224.0.0.251
stackoverflow.com.,18091718,151.101.193.69
Brother MFC-7860DW._pdl-datastream._tcp.local.,18092519,192.168.1.50
Brother MFC-7860DW._pdl-datastream._tcp.local.,18092620,192.168.1.50
Brother MFC-7860DW._pdl-datastream._tcp.local.,18092821,192.168.1.50
Brother MFC-7860DW._pdl-datastream._tcp.local.,18092822,192.168.1.50
